TeamName,W,L,W/L%,GB,PS/G,PA/G,SRS,abb,num
Cleveland Cavaliers* (16) ,57,25,0.695,—,104.3,98.3,5.45,CLE,16
Toronto Raptors* (17) ,56,26,0.683,1,102.7,98.2,4.08,TOR,17
Miami Heat* (18) ,48,34,0.585,9,100,98.4,1.5,MIA,18
Atlanta Hawks* (19) ,48,34,0.585,9,102.8,99.2,3.49,ATL,19
Boston Celtics* (20) ,48,34,0.585,9,105.7,102.5,2.84,BOS,20
Charlotte Hornets* (21) ,48,34,0.585,9,103.4,100.7,2.36,CHA,21
Indiana Pacers* (22) ,45,37,0.549,12,102.2,100.5,1.62,IND,22
Detroit Pistons* (23) ,44,38,0.537,13,102,101.4,0.43,DET,23
Chicago Bulls (24) ,42,40,0.512,15,101.6,103.1,-1.46,CHI,24
Washington Wizards (25) ,41,41,0.5,16,104.1,104.6,-0.5,WSH,25
Orlando Magic (26) ,35,47,0.427,22,102.1,103.7,-1.68,ORL,26
Milwaukee Bucks (27) ,33,49,0.402,24,99,103.2,-3.98,MIL,27
New York Knicks (28) ,32,50,0.39,25,98.4,101.1,-2.74,NYK,28
Brooklyn Nets (29) ,21,61,0.256,36,98.6,106,-7.12,BKN,29
Philadelphia 76ers (30) ,10,72,0.122,47,97.4,107.6,-9.92,PHI,30
